Tamanho,InsertionSort,MergeSort
0,1.2000000424450263e-06,8.000006346264854e-07
50,3.8800000766059384e-05,4.780000017490238e-05
100,0.00010960000145132653,9.549999958835542e-05
150,0.0002625999986776151,0.00016929999947024044
200,0.0006205000008776551,0.00021980000019539148
250,0.0007444000002578832,0.0002566999992268393
300,0.00115650000043388,0.00032669999927747995
350,0.001735499999995227,0.00038809999932709616
400,0.0020363000003271736,0.0004518000005191425
450,0.0028466000003390945,0.0005135000010341173
500,0.003497100000458886,0.0005739000007451978
550,0.0050384000005578855,0.000657300000966643
600,0.007319299998925999,0.0009520999992673751
650,0.007567399999970803,0.0008807000012893695
700,0.012144899999839254,0.0012224000001879176
750,0.013415400000667432,0.0016734000000724336
800,0.010781799999676878,0.0009943000004568603
850,0.01839049999944109,0.0017437000005884329
900,0.012645100001464016,0.00105489999987185
950,0.02309140000033949,0.001618899999812129
1000,0.02218429999993532,0.0017177999998239102
1050,0.026739000000816304,0.002007400000366033
1100,0.02966530000048806,0.0016799999993963866
1150,0.030699900000399793,0.0017834000009315787
1200,0.026145300000280258,0.0023408000015479047
1250,0.03829020000011951,0.0023314000009122537
1300,0.05421019999994314,0.002573399999164394
1350,0.05003000000033353,0.002153600000383449
1400,0.05019970000103058,0.0024835000003804453
1450,0.05574960000012652,0.002505499998733285
1500,0.061944899998707115,0.0029733999999734806
1550,0.07302530000015395,0.0030364999984158203
1600,0.06357590000152413,0.002883899998778361
1650,0.059817999999722815,0.0030471999998553656
1700,0.06488559999888821,0.0027133999992656754
1750,0.08073750000039581,0.00326390000009269
1800,0.08549870000024384,0.002882500000850996
1850,0.07618550000006508,0.0030853999996907078
1900,0.08388419999937469,0.0030138000001898035
1950,0.09231339999860211,0.003208500000255299
2000,0.06857839999975113,0.002511800001229858
2050,0.09745339999972202,0.003866099999868311
2100,0.09472060000007332,0.0026525000012043165
2150,0.11234019999938027,0.003534199999194243
2200,0.11226350000106322,0.0037040999995952006
2250,0.12639019999915035,0.003891500000463566
2300,0.12084089999916614,0.004372700001113117
2350,0.12331180000001041,0.004030200001579942
2400,0.1409378000007564,0.0040675000000192085
2450,0.12300610000056622,0.004372299999886309
2500,0.1412772000003315,0.004372499999590218
2550,0.12480680000044231,0.004369199999928242
2600,0.16140600000107952,0.004495199998928001
2650,0.143082400001731,0.003717300000062096
2700,0.17298510000000533,0.004719799999293173
2750,0.16297510000003967,0.004718599999250728
2800,0.15669509999861475,0.003580500000680331
2850,0.18943839999883494,0.004905399999188376
2900,0.2003310000000056,0.0049026000015146565
2950,0.20249229999899399,0.005273500000839704
3000,0.20644460000039544,0.0053609999995387625
3050,0.20679200000085984,0.00527689999944414
3100,0.21624599999995553,0.0052823000005446374
3150,0.23103090000040538,0.005677200000718585
3200,0.21901330000036978,0.004359299999123323
3250,0.2360486999987188,0.0060100999999121996
3300,0.21729969999978493,0.005684899999323534
3350,0.26455929999974614,0.006184500000017579
3400,0.2703814999986207,0.004412799999045092
3450,0.26574059999984456,0.006225900000572437
3500,0.2615068000013707,0.006145899998955429
3550,0.2895269000000553,0.006216100000528968
3600,0.2682471000007354,0.005024699999921722
3650,0.30752810000012687,0.004851800000324147
3700,0.35211769999841636,0.006454700000176672
3750,0.33355029999984254,0.006663000000116881
3800,0.28359439999985625,0.005712000000130502
3850,0.3135958999991999,0.00705519999974058
3900,0.3457712999988871,0.0069055999992997386
3950,0.33182379999925615,0.005514899999980116
4000,0.3885694999989937,0.007108900001185248
4050,0.39103500000055647,0.008223599999837461
4100,0.3127208000005339,0.007430699999531498
4150,0.4125738000002457,0.008342900000570808
4200,0.39966889999959676,0.007902700001068297
4250,0.41229679999923974,0.00821150000047055
4300,0.4046268999991298,0.007915900001535192
4350,0.3667052999990119,0.006507000000055996
4400,0.46655980000105046,0.008079600000201026
4450,0.44884060000003956,0.008449099999779719
4500,0.46709980000014184,0.008606499999586958
4550,0.47356240000044636,0.008677800000441493
4600,0.4865014999995765,0.009093399999983376
4650,0.4309776000009151,0.008609500000602566
4700,0.5126728999985062,0.008478300000206218
4750,0.44900459999917075,0.008867000000464031
4800,0.57254710000052,0.009785099999135127
4850,0.5194587000005413,0.00964390000081039
4900,0.575764799999888,0.009197999999742024
4950,0.5687373000000662,0.009129099998972379
5000,0.5412963999988278,0.009078899998712586
5050,0.5687082000004011,0.009740099998452934
5100,0.5896419000000606,0.009522300000753603
5150,0.6317425999986881,0.009666199999628589
5200,0.681485099999918,0.010540899998886744
5250,0.6089546999992308,0.010305300000254647
5300,0.5850807000006171,0.011021800000889925
5350,0.6170646000009583,0.010038100001111161
5400,0.6886606000007305,0.010714600000937935
5450,0.67779469999914,0.010748700000476674
5500,0.7462894000000233,0.011011999999027466
5550,0.6365838999990956,0.011060299999371637
5600,0.752640300001076,0.011513999999806401
5650,0.7104046000004018,0.008219900000767666
5700,0.698001500000828,0.011060400000133086
5750,0.75960699999996,0.01097490000029211
5800,0.7312425000000076,0.010924699998213327
5850,0.797209300000759,0.009003400000437978
5900,0.7612473999997746,0.012074000000211527
5950,0.8002922000014223,0.011718900001142174
6000,0.8303950999998051,0.012151900000390015
6050,0.8282815000002302,0.012169600000561331
6100,0.8399413999995886,0.009106600000450271
6150,0.9119802000004711,0.01202259999990929
6200,0.8880301999997755,0.01140769999983604
6250,0.8910759999998845,0.012422599998899386
6300,0.9258388000016566,0.012145299999247072
6350,0.8714940999998362,0.012642600000617676
6400,0.9672646999988501,0.013298699999722885
